AGL23	BIOGENESIS OF ORGANELLES
HSL1	YOUNG SEEDLINGS, MATURE SEEDS AND EMBRYOS OF IMBIBED SEEDS
NPR1	TGA FAMILY
LIG4	CNHEJ
ATAHL20	ATAHL29
TAP42/ALPHA4	TOR PROTEIN KINASE
ATPUB14	HYDROGEN BONDS AND SALT BRIDGES
GFP-ATAGP17	BETA-YARIV REAGENT
DXO1	PLANT-SPECIFIC N-TERMINAL EXTENSION
PGA37/MYB118	SOMATIC EMBRYOS
LKS2 (NRT1.5)	K(+) TRANSLOCATION
TGA9/10	MIDDLE AND TAPETUM LAYERS
ENY	GA METABOLISM AND SIGNALING
TPK1	CYTOPLASMIC CA2+ AND PH
B1L	CBFS
DRMY1	ABA SIGNALING PATHWAYS
ATFIB1/ATFIB2	U60.1F/U60.2F SNORNA
SAM	ADO SALVAGE
PROTEIN	486 AMINO ACIDS
METABOLOME	LEAF SIZE
ATZAR1 NLR	T3SE PROTEINS
GLUTAMINE AMIDOTRANSFERASE DOMAINS	GLUCOSINOLATE BIOSYNTHESIS
AT-4/1	POLARIZED FASHION
FIT/ATBHLH38	IRON ACCUMULATION
RSH	FIRST ASYMMETRICAL DIVISION OF ZYGOTE
PAD4	PHLOEM SAP UPTAKE
HY5	ANTHOCYANIN BIOSYNTHESIS
PIP5K2	ROOT GRAVITY RESPONSE
MAP18	CORTICAL MICROTUBULES
PP7	MYELIN BASIC PROTEIN
AGL15	DNA FRAGMENTS
P3N-PIPO	CELL-TO-CELL MOVEMENT
VIH2	PLANT DEFENSES
ICX1	MATURE LEAF TISSUE
ECH	TVP23
ANTIBODY	FTSH PROTEASE
SR33	INTERCHROMATIN GRANULE CLUSTERS
XRN3	PTGS
SNAP-TAGGED HCC1	MITOCHONDRIA
MRPL11/PRPL11	NUCLEAR PHOTOSYNTHETIC GENES
FIL	DISRUPTED CELL ALLOCATION
BES1	GENES
GBETA	BIOTIC AND ABIOTIC STRESS RESPONSES
GLUCOSE 1-PHOSPHATE	APOPLAST
GUN GENES	NUCLEAR GENE EXPRESSION
OAS-TL A, B AND C	BIFUNCTIONAL OAS-TL AND BETA-CYANOALANINE SYNTHASE (CAS) ACTIVITIES
KHZ2	FLOWERING
AOX	ORGANIC ACIDS
GDP-MANNOSE	VTC1
MYB3R3	E2F, E2FC, RETINOBLASTOMA RELATED PROTEINS
GAPC-1	ALTERATION OF PLANT AND EMBRYO DEVELOPMENT
AT1G78690	TAFAZZIN
RBR	STEM CELL POOL SIZE
VPS35	ENDOSOMAL MEMBRANES
BRIZ1	BRIZ2
HAI PP2C SINGLE MUTANTS	IN ABA SENSITIVITY
AUX/IAA REPRESSORS	ARF BINDING
T-DNA INSERTION	KAT2 EXPRESSION
UPB1	ROS BALANCE
SAUR62/75	RPL12 FAMILY MEMBERS
PROTEIN	67 MICROMOL SMALL MIDDLE DOTMIN(-1) MG(-1)
HIGH-THROUGHPUT GENETIC SCREEN	LOW-SULPHUR-TOLERANT MUTANTS
LEAF MARGIN DEVELOPMENT	CUP-SHAPED COTYLEDON2 ACTIVITIES
KNS GENES	SPOROPHYTIC CELLS
ATHB12	TFIIB
HEB2	CAP-H2
ARGINASES	UREOHYDROLASES
ATTAD1	NUCLEUS
HKL	TRANSGENIC ARABIDOPSIS PLANTS
PIP5K4	PLASMA MEMBRANE
ER	EPCSS
HSP90	STEROID RECEPTOR-HSP90 COMPLEXES
GSH	EXPRESSION OF SULPHATE TRANSPORTER GENES
ETF/ETFQO	RESPIRATION
FLAVONOIDS	MANY LOCATIONS
GI	EEL
ATBCAT-1	MITOCHONDRIA
VGD1	POLLEN GRAIN AND TUBE
ATABCG29	TOLERANCE TO P-COUMARYL ALCOHOL
TGA6	CDNA
INDUCTION SYSTEM	POPLAR TREES & SUSPENSION CULTURES OF ARABIDOPSIS & TOBACCO CELLS
TDSM SYSTEM	SA PATHWAY
35S	EXPRESSION OF ABSCISIC ACID-RESPONSIVE GENES
DRM	METHYLATION
WOX13	JAG/FIL ACTIVITY
ATGRIP	ATARL1
SSII	SSIII
PAPP2C	N-TERMINAL PHY DOMAIN OF PHYTOCHROMES
CML24	CO EXPRESSION
OVEREXPRESSION OF ACTIVE NTL6	DISEASE RESISTANCE
RHA2A	ABA SIGNALING
GFP-TAGGED MIZ1	LATERAL ROOT CAP CELLS
UBP27	UBIQUITIN PROTEASE ACTIVITIES
NER PATHWAY	CENTRIN
GFP-SYP124	DOMINANT NEGATIVE MUTANT
LFY	AP1
CPR1/CPR6	H. SCHACHTII SUSCEPTIBILITY
TMK1	NATIVE FORM
GFP-BP80	PREVACUOLAR COMPARTMENT
CER10 MUTANTS	MORPHOLOGICAL ABNORMALITIES
KNOCKOUT PLANTS	
PHOT1/PHOT2	PHOTOTROPISM
MDF	PIN2 AND PIN4 MRNA LEVELS
DISTORTED MUTANTS	ACTIN ORGANIZATION DEFECTS
ROOT TIP	LOW-P(I) MEDIUM
CAP-D3	CHROMATIN ORGANISATION
ATLIG1-RNAI	RETARDED GROWTH AND REDUCED CELL SIZE
PDV1/PDV2	CHLOROPLASTS
NODGS	OLIGOMERIC FORM, CYTOSOL, MICROSOMAL MEMBRANE FRACTION
S-SULFOCYSTEINE	CHLOROPLAST FUNCTION
ATDICE1	GFP-TUA6
SCREEN	MUTANTS
CPGI KNOCKOUT MUTANTS	LETHAL
STRF1	SALT STRESS
PILS6	NON-OPTIMUM AUXIN CONCENTRATIONS
CRWN1	KAKU4-DEPENDENT NUCLEAR ENVELOPE DEFORMATION
ATHMGB11	AT-RICH DNA
PRP16/CUV	AUXIN-MEDIATED DEVELOPMENT
PAB3P	PAN3 GENE DELETION
RD26	SFP1
MYB118	MATURATION-RELATED GENES
JA-ILE	COI1
ATELP	NTPP OF BARLEY ALEURAIN
GENE	GLOSSINESS
RCD1	NO
PRH-19/PRH-26/PRH-43	E. COLI CYSH MUTANT
ATGLR3.5	CHLOROPLASTS
RABE	AVRPTO
GENE	GOLGI
FBH HOMOLOGS	CO EXPRESSION
STR1	SPECIFIC TISSUES/ORGANS
HY5	GENES
PHOTOTROPIN	DEVELOPMENTAL RESPONSES
FTIP3/4	EARLY TERMINATION OF SHOOT APICES
BG14	PLASMODESMATA
FT	FTIP1
RRNA	GUIDE RNAS
MPC	DME
EPOXYSQUALENE	CYCLOARTENOL
LACK OF RNA EDITING	LEVEL OF MRNA MOLECULES
PR-1	B. CINEREA RESPONSE
PSBY	CYTB559
SYD	LFY TRANSCRIPTION FACTOR
COR27	HY5
TRUNCATION	ENZYME ACTIVITY
PIFI	CHLOROPLAST-TARGETED PROTEIN
ATMIK/AT5G58730	INSP(6)
SMO2-1 SMO2-2/+ MUTANT	
FLC TRANSCRIPTION	FLORAL TRANSITION IN ARABIDOPSIS THALIANA
ATXTH21	DEPOSITION OF CELLULOSE/ELONGATION OF CELL WALL
ARK1	MICROTUBULES
LIGHT	TEMPERATURE
RPM1	NECROSIS
IAA31	AUXIN
MIR396	CELL PROLIFERATION
THDP	MCF CARRIERS
MCAMT	PRODUCTION OF MALONYL-ACP AND COA
PPDK	PEP TO GLUCONEOGENESIS
ATPUX7 UBX DOMAIN	UBIQUITIN
AUN1(D94N)	PT GROWTH
MAR1	CHLOROSIS
COR15A	CELL MEMBRANES
RPF2	MITOCHONDRIAL DNA SEQUENCES
ERF96	ABA RESPONSES
XYLANS/LIGNIN	IN IRX3 AND WILD-TYPE
PLDDELTA	ABA-INDUCED ROS AND NO PRODUCTION
FIM5	ACTIN FILAMENTS
RECEPTOR-LIKE KINASE	CELL POLARITY
FUT1	XXT2
ARR7	FREEZING TOLERANCE
SR45-1	SNRK1
P5CDH	C CONCENTRATION
SNIP1	DROSHA
BOR1	BORON CONCENTRATIONS IN CELLS
ATMYB7	FLAVONOL BIOSYNTHESIS
FTSZ	ARC3
AZELAIC ACID	AZI1
ACD2	RED CHLOROPHYLL CATABOLITE
ATBG_PPAP	CALLOSE
MOCO HYDROXYLASES	DESULFO MOIETY OF COFACTOR
TAF13	PRC2
ATGRP7	FLOWERING-TIME
SR30.2	NUCLEUS
ABI5	SIZ1
FUNGAL CHITINASES	TOLERANCE TO SALINITY, HEAVY-METAL STRESSES, AND BOTRYTIS CINEREA INFECTION
KLUH ACTIVITY	INDIVIDUAL ORGANS
METABOLOMICS	GAIN-OF-FUNCTION APPROACH
GAPC-1	NUMBER OF SEEDS
HEAT SHOCK TRANSCRIPTION FACTORS	EARLY SENSING OF H2O2 STRESS
ATMYB4	NOVEL GROUP OF PLANT R2R3 MYB PROTEINS
MAP65-2	PROPER ROOT ELONGATION
POSITIVE CHARGES	TRANSLOCATION ACROSS MEMBRANES
HO1- AND HO2-LIKE	TWO SUBFAMILIES
GGT1	GGT3 IN LEAVES
MICROTUBULE CYTOSKELETON	SCO3 LOCALIZATION
ATTOC33	ATTOC159
DHGA(12)	GA RECEPTOR (GID1C)
GLYCERALDEHYDE-3-P DEHYDROGENASE	INTERMEMBRANE SPACE/OUTER MITOCHONDRIAL MEMBRANE
XAL2	TFL1 REGULATORY REGIONS
MIR408	ARPN, LAC3, GSTU25
LORE	LPS- AND LIPID A-TRIGGERED SECOND ROS BURST
AXR2	DIFFERENT PATHWAYS
SRL1	PHYB
ACL5	SAC51 TRANSLATION
PLASTID-ENCODED TRNAS	SIG2-1 MUTANT
NPR4	RESISTANCE TO ERYSIPHE CICHORACEARUM
PAF1C	SKI8
AS1 AND AS2	INTERPHASE CELL
FPGS	FOLATE-MEDIATED REACTIONS
DWA2	CUL4
PGX2	CELL EXPANSION
ATMLH3	REPRODUCTIVE TISSUE
ATMTP1	ZN(2+)/H(+) TRANSPORT
KNAT1	SHOOT MERISTEM
AN3	SYT
ATH1	INFLORESCENCE STEM
TOPP4	PHYTOCHROME-DEPENDENT LIGHT RESPONSES
BAM2	LAND PLANTS
PBG DEAMINASE	MATURE SIZE
MIS12	CENH3
MDP25	ABNORMAL CORTICAL MICROTUBULE ORIENTATION
MUTANTS	NEGATIVE REGULATOR OF ABA SENSITIVITY
MATURE PROCESSED FORM	NO INHIBITION
ESF1	BIOLOGICALLY ACTIVE PEPTIDES
ATRAD54	ALL TISSUES
BAC1/BAC2	ARGININE
GENE	FULL-LENGTH CDNA CLONE
CBL	EMBRYOS
ATSUFE	PLASTIDS AND MITOCHONDRIA
PHYA	INCREASING R SIGNALS
MODELS	RAPID SPREAD DECREASES WITH FREQUENCY AND DIVERSITY OF RESISTANCE ALLELES
ETO3	ETHYLENE BIOSYNTHESIS
AT5G19500P	INNER ENVELOPE MEMBRANE
NPH1	PHOTOTROPISM
AT1G09300	MITOCHONDRIA
HSP70	PAM COMPLEX
MYC3	DIMER
RPK1	ABA-INDUCIBLE GENES
ATCDPK1	LOW-TEMPERATURE STRESS OR HEAT STRESS
RPS2, RPS4, RPS5, RPM1	NHO1 MUTATION
9-LOX	BR PATHWAYS
PDM2	PHOTOSYNTHESIS
TRB1	ATG8
ERECTA	CALLOSE DEPOSITION
ZMRB-1	G1/S PROTEIN KINASES
DNA	MUTATIONS AND CELL DEATH
C DOMAIN	THIOREDOXIN
GENE	AUXIN GRADIENT FORMATION
PC GENE	DEVELOPMENTALLY CONTROLLED
DEDOL-PP SYNTHASE	DEDOL-PP
GSSG	CALD2
PROTEIN	4-DIPHOSPHOCYTIDYL-2C-METHYL-D-ERYTHRITOL
PROTEIN PARTNERS	LC-MS
APC2	CYCLIN-BETA-GLUCURONIDASE REPORTER PROTEIN
ATMOB1-LIKE	TETRAPLOID PROGENY
YABBY GENE	ABAXIAL CELL FATE
NDPK2	GREENING
NAC050/052	GENES
GDU1	INCREASED AMINO ACID EXPORT
COMPLEX II	MITOCHONDRIAL METABOLISM
CO	FT
TRANSCRIPTION FACTORS/SPLICING FACTORS	AS
RFL24	CMS GENE
PLMT	DE NOVO SYNTHESIS OF CHOLINE HEADGROUP
ELO	SPHINGOLIPIDS
AHG1	SEED DEVELOPMENT AND GERMINATION
EPF1	ASYMMETRIC CELL DIVISION
APC4	CYCLIN B PROTEIN
ABCG37 GENE	SECRETION OF COUMARIN COMPOUNDS
AHBP-1B	PR-1 GENE PROMOTER
FLK AND PEP	FCA
SOC1/AGL20, SEP3/AGL9, SEX1	TMAC2-OVEREXPRESSING PLANTS
PTEN	SIGNALLING PATHWAYS
AHP6	CYTOKININ SIGNALING
NDHH SUBUNIT	NDH COMPLEX
ERH1	RPW8-MEDIATED HR-LIKE CELL DEATH
KATD	ATPASE ACTIVITY
BES1	BRI1
ATCDC48	ATPASE ACTIVITY IN D1 AND D2 DOMAINS FOR PUX1-MEDIATED HEXAMER DISASSEMBLY
FIE	FIS CLASS PROTEINS
LNCRNAS	CLUSTERED METABOLIC GENES
ATBI1	CELL DEATH SUPPRESSION
ATK5	POLES TO MIDZONE
WPP2	WIT1 NUCLEAR ENVELOPE TARGETING
SA SIGNAL TRANSDUCER	CELL DEATH PHENOTYPES
ACD2	P. SYRINGAE-INDUCED PCD
PEX10	ZELLWEGER SYNDROME
SMALLER CONSTRUCTS	DIFFERENT DOMAINS OF SPY PROTEIN
GL3/EGL3	ROOT EPIDERMAL CELL FATES
E DOMAIN	MPT
LAP2	GAMMA-AMINOBUTYRIC ACID BIOSYNTHESIS
AVRB & AVRRPM1	RIN4 PHOSPHORYLATION
PHYB	LONG HYPOCOTYL PHENOTYPE
ACO3	CYTOSOL
ATABCC2	PATTERN OF ANTHOCYANIN ACCUMULATION
KOBITO1	SYMPLASTIC MOVEMENT OF TRANSCRIPTION FACTORS
ADH MRNA EXPRESSION	HYPOXIA
AIS143	REDUCED SEED DORMANCY
JAR1	ABSCISIC ACID INHIBITION
ERH1	ROOT HAIR INITIATION
FTSZ2	CHLOROPLASTS
ZIFL1.1	CELLULAR AUXIN EFFLUX
NAHG GENE	SYMPTOM DEVELOPMENT
ATSK12(ASKGAMMA)	INFLORESCENCE MERISTEM
ATAURORA1	SUBSTRATES CRITICAL TO MICROTUBULE FORMATION
MVK	CYTOSOL
AAD2	OMEGA-7 PRODUCTION
PFD6	ATURI
KNAT1	LEAF PRIMORDIA
ATVTL2	ROOT GROWTH
CELLULAR FUNCTIONS OF ARL PROTEINS	
BODYGUARD GENE	CED1
MATURATION-RELATED GENES	IN MYB118 MUTANTS
VWA DOMAIN	UBIQUITIN FUSION DEGRADATION SUBSTRATE
GAPDH	GLYCOLYSIS
GLRS	CA(2+) FLUXES
SKM1	CLE45
FD	AP1
ROS1	DEMETHYLATING TRANSGENE PROMOTER
HUA2	FLC, AG
CYTOKININ	DOWNSTREAM GENE EXPRESSION
ATTAT1	TYR DEAMINATION
ATRECQL4B	WITH ATRECQL4A
MYB41	LTP GENE PROMOTER
EDS1	PAD4
BASS2	CHLOROPLAST ENVELOPE MEMBRANE
NSE4A	SEED DEVELOPMENT
ATDAP1	PROTEIN AGGREGATION
FLS-1	ELEMENT FOR PERCEPTION OF FLAGELLIN SIGNAL
GENE	CHROMOSOME 1
GUN1	ABI4-MEDIATED REPRESSION
NAT2/AAP1	GLYCOSYLATION STATUS
STM-1	BOP1-1 MUTATION
RSME2	HISTONES, TRANSCRIPTION COMPLEX, SPLICEOSOME
DELTAZN PLANTS	CAROTENOIDS AND CHLOROPHYLL A AND B
FLUOROGENIC PEPTIDE	ATSBT1.1
COR15 PROTEINS	COLD ACCLIMATION
IRE	POLLEN GRAINS
BZIP60	UPR-RESPONSIVE GENE INDUCTION
ADENOSINE MONOPHOSPHATE KINASE (AMK)	FORMATION OF ADP
GENE	PEROXISOMES
FLAVONOIDS	P450S
PATHOGEN ATTACK	MPK3/MPK6
SOC1	SVP
TOR	ACTIVE S6K1 PHOSPHORYLATION
AT3G25810	MYRCENE AND (E)-BETA-OCIMENE
ATPRRS	LARICIRESINOL BIOSYNTHESIS
MUTATION OF WRKY46	ROOT AL CONTENT
ATORM1	RESISTANCE TO FUMONISIN B(1)
ATFH14	MICROTUBULES
GENE	CYSTEIC ACID
SYP121	GAS EXCHANGE
FPS1	FPS2
BHLH109	ECP63
LARP6C	TRANSCRIPTS
WTF9	GROUP II INTRONS
CDG1	BSU1
TRX H2	TRX O1
PATROL1	H(+)-ATPASE
PXY	CLE41
EPF2	TOO MANY MOUTHS
GENE	GA5 SEMIDWARF MUTANT
ATSFC1	RADICLE GROWTH
APS1-3	PLASTIDS
GENE	VIRULENCE
SOS2/3	VSP2
CO	BBX19
VAMP721/722	SECRETORY VESICLES
CER4 GENE PRODUCT	FATTY ALDEHYDE REDUCTION
AT PRP39-1	SOC1
AUXIN	PLANT GROWTH AND DEVELOPMENT
CRY1	PHOTOSYNTHESIS
B. CINEREA	ARABIDOPSIS
AT3G48820	GOLGI RESIDENT PROTEIN
ATMES	MESA
COP9 SIGNALOSOME	MULTIFACETED DEVELOPMENTAL PROCESSES
MYB97 MYB101 MYB120 TRIPLE MUTANT	EXPRESSION OF POLLEN-EXPRESSED GENES
UV-B	RUS1 & RUS2
AGL24	FLOWERING SIGNALS
TMO7	MP-DEPENDENT ROOT INITIATION
ATHB-12	NUCLEUS
FMO(GS-OX5)	8-METHYLTHIOOCTYL GSL
HY5	PROTEASOME-MEDIATED DEGRADATION
PGI	INTERCONVERSION OF F6P AND G6P
AT1G15480	FLOWERING TIME
TATB	TATC
DRM2	DNA METHYLATION
ATECI3	PEX5
RUS1 & RUS2	DUF647 DOMAIN
CHIMERIC SQS	ERGOSTEROL PROTOTROPHY TO STRAIN 5302
RAR1	SGT1 AND HSP90
ARABIDOPSIS GENOME	GENES
COP1	UBIQUITINATION OF HY5
BOR MUTATIONS	PHOSPHATASE ACTIVITY
MAIZE GENES	PLANT
SLOW VACUOLAR CHANNEL	[CA2+]CYT SIGNALS
BIL2	BSKS
NB-LRR	NEGATIVE REGULATION OF IMMUNITY
SSF1/2	YEAST CELL VIABILITY
COMPLETE LACK OF FUNCTIONAL REP	MALE STERILITY IN ARABIDOPSIS
HOMOZYGOUS MUTANTS	NO GROSS DISTURBANCE
AT4CL1	VARIOUS PLANT ORGANS
SAH	ADO SALVAGE
SCRM	STOMATAL DIFFERENTIATION
GSTS	SA TREATMENT
ATABC1K6	PLASTOGLOBULE LIPID DROPLETS
SER-247/PHE-248/ASP-461/THR-507/THR-508	NAT12 NUCLEOBASE BINDING
LK STRESS	NPF7.3
TES MUTANTS	MALE MEIOTIC CYTOKINESIS
ATPHS2	MALTOSE
ABI5(K391R)	SIZ1-MEDIATED SUMOYLATION
CDS6	MITOCHONDRIAL PG AND CL BIOSYNTHESIS
ATLAZY1	INFLORESCENCE BRANCH ANGLE
RSL1	UBIQUITIN LIGASE
GYRB	KNOCKOUT
RBCL GENE	REDUCED RLSB EXPRESSION
ATIPT4/P450	YEAST
TPL-1	EARLY FLOWERING, DECREASED SENSITIVITY TO PHOTOPERIOD
MYROSINASE	PLANT DEFENCE
EIN3	MPK3/6 PHOSPHORYLATION SITES
SYNAPTOTAGMIN SYTA	ENDOSOME RECYCLING
HBI1	PAMP-INDUCED GROWTH ARREST
MT1	CUP1 DELTA MUTATION
ESR1-1	JA-REGULATED GENES
FERONIA	RALF6
BAM3	STARCH BREAKDOWN
RIDA	CHLOROPLAST
PBRP2	SYNCYTIAL ENDOSPERM DEVELOPMENT
SEC1	THYLAKOID PROTEINS
HERCULES RECEPTOR KINASE 1	POLLEN TUBE RECEPTION
COPT6	YEAST MUTANTS
ATCAL1	FLOWERING-RELATED GENES
LTPS	ENDOPLASMIC RETICULUM-TRANS-GOLGI NETWORK
PYEL	BTS
FKD1	PIN1 ASYMMETRIC LOCALIZATION
GP ALPHA1	PLASMA MEMBRANE
RG I/HOMOGALACTURONAN	RHAMNOSYL RESIDUE IN AG OF AGP
IPS	INSP6
LHCB2	UNDER STATE II CONDITION
PIF1	PIF3
ABA	AOS ACTIVITY
SND2/3/4/5	SWN-MEDIATED TRANSCRIPTIONAL NETWORK
DRT111/DRT112	RECOMBINATION PROFICIENCIES
ALG10	UNFOLDED PROTEIN RESPONSE
PQ POOL	REDOX CHANGES
HDA5	ER
PLD BETA	PIP(2)
SUP PROTEIN	NOVEL DNA-BINDING MOTIF
RPG1	CALS5 EXPRESSION
FVE	MSI5
ATRZ-1A	TRANSCRIPT LEVEL
GENE	PLANT GROWTH AND DEVELOPMENT
PHYTOCHROMES A AND B	CHLOROPHYLL BIOSYNTHETIC RATES
HEXO2/HEXO3	SECRETORY GLYCOPROTEINS
SA	PD PERMEABILITY
SPA1	COP1
XLG2	RTV1 BINDING TO FT AND SOC1 PROMOTERS
MUTAGENESIS STUDIES	GLUTAMATE ESSENTIAL IN HOMOLOGOUS ENOYL-COA HYDRATASES
ATRSZ33	ATSCL28
FOF2	FLC-3 MUTATION
NPQ	PHOTOSYNTHETIC ELECTRON TRANSPORT
CLP PROTEINS	FUSION PROTEIN CONTAINING MODEL TRANSIT PEPTIDE
CGF1	CHLOROPLASTS
SDP	CHLOROPLAST BIOGENESIS
TRANSGENIC TOBACCO PLANTS	ENHANCED COLD TOLERANCE
ATMYBL2	TLLLFR REPRESSION MOTIF
AT.MAMI	265 AMINO ACID PROTEIN
T-DNA INSERTION MUTANT	FUNCTIONAL AT3G02870 GENE PRODUCT
NDR1-1	SUSCEPTIBLE TO DC3000 EXPRESSING ANY ONE OF THE FOUR AVIRULENCE GENES TESTED
ARR4	SHOOT FORMATION
ATIPT1, ATIPT3, ATIPT5, ATIPT8	PLASTIDS
TOC159/132/120/90	TWO GENE FAMILIES
C332	ACTIVITY
TRANSGENIC ARABIDOPSIS LINES	HAUSTORIA FORMATION
OXIDATIVE STRESS	COPPER AND IRON CONTENT OF MITOCHONDRIA
MED16	ALL THREE SUBUNITS FOR CBF-RESPONSIVE GENES
ATRBR1	LEADS TO PROLONGED G2 PHASE
POLAR	GSK3-LIKE KINASES
PHYA	STRIGOLACTONE
INDOLE GLUCOSINOLATES	TRP
MESA	ARABIDOPSIS AND TOBACCO
ATPRA1.B6	GOLGI APPARATUS
BOR1	ROOT ELONGATION
ATIPK1	PI HOMEOSTASIS
GENE	SUBUNITS OF MITOCHONDRIAL ATP SYNTHASE
M2 SEED	SUSCEPTIBLE TO DC3000(AVRB)
BZR1	FEEDBACK INHIBITION OF BR BIOSYNTHESIS
ALCATRAZ	INDEHISCENT
GA	GENOME-WIDE EXPRESSION
ATHKT1	SODIUM FROM XYLEM VESSELS
ATABCC2	UPTAKE OF ACYLATED ANTHOCYANINS
AOP2/AOP3	GENE DUPLICATION
GENE	CALEOSIN
SA	SIGNAL FOR PRODUCTION OF ARR-ASSOCIATED ANTIMICROBIAL COMPOUND
CYPS	PRXA AND PRXB
GDH1GDH2 DOUBLE-MUTANT	LOW-OXYGEN SENSITIVITY OF STOP1 MUTANT
EBF1/EBF2	EIN3/EIL1
LEDET2	257 AMINO ACID PROTEIN
AMS	MGT5 PROMOTER
GARP	CYTOKINESIS DEFECTS
PIFS	BZR1
TIR1/AFB PROTEINS	BDL
MYB52	LIGNIN BIOSYNTHESIS
UEV1D	SEED AND POLLEN GERMINATION IN PRESENCE OF DNA DAMAGE
ABA TRANSCRIPTION FACTORS	BABA
FCLY MUTATIONS	ABSCISIC ACID
ATCYP20-2	FUNCTION OF LUMENAL IMMUNOPHILINS
GCS1	GCS1 FUNCTION
PXC3	BAK1
ICS1	IRON HOMEOSTASIS
MRNA	VARIOUS ORGANS
SDG4	ASH1
ABSCISIC ACID	XBAT32 LATERAL ROOT FORMATION
FPS2	FPS1S
MALP	MALTOSE
ARF2	GENE EXPRESSION
BZIP67	L1L
JMJS	BZR1
MAIZE, ARABIDOPSIS	NAD(P)HX DEHYDRATASES AND EPIMERASES
SOS2	SCABP8
AIFS	YEAST TWO-HYBRID SCREEN
GENE	STROMAL COMPARTMENT
FOLDING	PROTEINS
OPR1/2	(9S,13S)-12-OXOPHYTODIENOIC ACID
CYTOCHROME SPECTRA	COMPLEX III ACTIVITY
ATGRXC5	[2FE-2S] CLUSTER
GENE EXPRESSION	CELLULAR FUNCTIONS
ATPPRT1	EXPRESSION
JMJ29	GL3
MELATONIN	CPQC
SOS(+) CANDIDATE GENES	GAMMA IRRADIATION
GRAFTING EXPERIMENTS	SPL7 EXPRESSION IN VASCULAR TISSUES
CHAMPIGNON	CELL CYCLE
NADH DEHYDROGENASES	RESPIRATION IN TRANSGENIC PLANTS
ICU2	AGAMOUS BACKGROUND
HYS1	CHLOROPHYLL AND PROTEIN CONTENT
ATPEX16P	PEROXISOMES AND ER
E. COLI	ABERRANT FTSZ RING ASSEMBLY
NDF6	TERRESTRIAL PLANTS DURING EVOLUTION
ATAOX1A	TOLERANCE TO ENVIRONMENTAL STRESS
V-ATPASE	CELLULAR PH HOMEOSTASIS
ATRXR3	CAM
CLE16/17	HAE/HSL2 EXPRESSION
NPR1	CT DOMAIN OF TGA2
TYRAAT1	AROGENATE DEHYDROGENASE REACTION
WILD TYPE	TMP
ANTISENSE RNA	SENSE STRAND TRANSCRIPTS
KIN10	WRI1
PIF8	PHYA-MEDIATED LIGHT RESPONSES
BETA-1,2 XYLOSYLTRANSFERASE	GOLGI
LFY	AP2-6
SASP	SILIQUE PRODUCTION
UBP12 & UBP13	MYC2
ATNUDX1	8-OXO-DGTP
ATTS02	LEVEL OF 27-KD HEAT SHOCK PROTEIN
CUAO1	PA- AND ABA-MEDIATED NO PRODUCTION
PWD	C3-PHOSPHORYLATION
ATPTR1	PEPTIDES BY ROOTS
AHL18	LENGTH OF PROLIFERATION DOMAIN
RRL	MITOCHONDRIA
PKN1	MARCHANTIA POLYMORPHA
ACX1/5	JA IN RESPONSE TO ALTERNARIA BRASSICICOLA INFECTION
ATSPLA2-ALPHA	TO SPLA2S FROM ANIMALS
ATFH2	ACTIN FILAMENTS
PRENYLTRANSFERASE	SOLANESYL DIPHOSPHATE
LPS	SECOND ROS BURST
HMGA/C1/2/D	MONOCOTYLEDONOUS PLANTS
XI-2	GOLGI STACK TRAFFICKING
STY1	VASCULAR DEVELOPMENT
TPD1	PRECURSORS OF TAPETAL CELLS TO DIFFERENTIATE INTO MICROSPOROCYTES
ICS1	LUC
MUTANT ARR7 ALLELE	ABERRANT SHOOT APICAL MERISTEMS
N-TERMINAL FRAGMENT OF GRI	CELL DEATH
ATGPI8	GPI ANCHOR TO PROTEINS
ATPPRT3	TRANSCRIPTIONAL EXPRESSION OF ATDREB2A, ATKIN1, ATRD29A, ATERD10 AND ATRD29B
LOW NADPH LEVELS	REACTIVE OXYGEN SPECIES
GLK	TRANSCRIPTION FACTORS
RAB-E	PIP5K2
CAND2/PMTR1	GPA1
MAL(2-)	STOMATAL CLOSURE
PCOS	O(2) AS COSUBSTRATE
LEC1/L1L	NF-YC2
NPF5.12	NPF5.16
CRY1	PHYA/PHYB-DEPENDENT CHLOROPHYLL ACCUMULATION
WUSCHEL	MAINTENANCE OF STEM CELLS
GENOMIC SEQUENCE ANALYSIS	FPT2
DIACYLGLYCEROL ACYLTRANSFERASE3	IN TRANSCRIPTOMIC STUDY
ATGSTU17	SEEDLING DEVELOPMENT
JAR1	ANTAGONISTIC RELATIONSHIP BETWEEN JA- AND SA-SIGNALING PATHWAYS
ATAMT2	13NH4+
GLUTAMINE SYNTHETASE	NITROGEN
GENE	LYSINE RESISTANCE
CER9	NOVEL DETERMINANT OF DROUGHT TOLERANCE-ASSOCIATED TRAITS
ATSUC2	INWARD CURRENTS
ALTERNATIVE SPLICING	STRESS RESPONSES
T-DNA REGION	ENZYMES
FRA8 MUTATION	STEM STRENGTH
RED1	SEED MATURATION
TOCOPHEROLS/DMPBQ	NONENZYMATIC LIPID PEROXIDATION
CAM9	MORE LIMITED SET OF TARGET PROTEINS
OPT3	IRON
SRPP	STRUCTURAL ROBUSTNESS OF CELL WALLS OF ROOT HAIRS
ASK1	
PYG7	TETRATRICO PEPTIDE REPEAT PROTEIN
